origin,destination,count,Cat
cn,om,0,1,Pos
cn,pk,0,11,Pos
cn,pe,0,1,Pos
cn,ph,0,1,Pos
cn,pl,0,1,Pos
cn,pt,0,1,Pos
cn,qa,0,Pos
cn,ro,0,1,Pos
cn,sa,0,2,Pos
cn,rs,0,2,Pos
cn,sg,0,28,Pos
cn,za,0,4,Pos
cn,es,0,1,Pos
cn,lk,0,Pos
cn,se,0,12,Pos
cn,ch,0,1,Pos
cn,tw,0,63,Pos
cn,tz,0,Pos
cn,th,0,9,Pos
cn,tr,0,1,Pos
cn,ug,0,2,Pos
cn,ua,0,7,Pos
cn,ae,0,17,Pos
cn,gb,0,88,Pos
cn,us,-2,13,Neg
cn,ve,0,2,Pos
cn,vn,0,7,Pos
cn,zm,0,Pos
co,ar,0,39,Pos
co,au,0,38,Pos
co,be,0,3,Pos
co,bo,0,1,Pos
co,br,0,28,Pos
co,ca,0,22,Pos
co,cl,0,42,Pos
co,cn,0,Pos
co,cr,0,2,Pos
co,do,0,2,Pos
co,ec,0,26,Pos
co,sv,0,Pos
co,fr,0,5,Pos
co,de,0,19,Pos
co,gt,0,Pos
co,in,0,6,Pos
co,ie,0,2,Pos
co,it,0,13,Pos
co,kr,0,4,Pos
co,mx,0,13,Pos
co,nl,0,1,Pos
co,nz,0,6,Pos
co,pa,0,3,Pos
co,pe,0,22,Pos
co,pt,0,1,Pos
co,es,1,13,Pos
co,se,0,3,Pos
co,ch,0,1,Pos
co,ae,0,1,Pos
co,gb,0,16,Pos
co,us,4,98,Pos
co,uy,0,2,Pos
co,ve,3,73,Pos
cr,ar,0,64,Pos
cr,br,0,56,Pos
cr,ca,0,26,Pos
cr,cl,0,24,Pos
cr,co,0,16,Pos
cr,ec,0,2,Pos
cr,fr,0,12,Pos
cr,de,0,21,Pos
cr,gt,0,5,Pos
cr,hn,0,12,Pos
cr,it,0,2,Pos
cr,mx,0,54,Pos
cr,nl,0,12,Pos
cr,ni,0,35,Pos
cr,pa,0,3,Pos
cr,pe,0,1,Pos
cr,es,1,48,Pos
cr,ch,0,3,Pos
cr,gb,0,28,Pos
cr,us,6,18,Pos
cr,ve,4,14,Pos
cu,ca,-2,4,Neg
cu,mx,-2,3,Neg
cu,es,9,83,Pos
cu,us,-20,42,Neg
cu,uy,-8,4,Neg
cy,au,0,78,Pos
cy,be,0,17,Pos
cy,ca,-1,4,Neg
cy,fr,0,22,Pos
cy,de,-1,68,Neg
cy,gr,5,54,Pos
cy,il,0,39,Pos
cy,it,0,5,Pos
cy,nl,0,34,Pos
cy,ng,0,45,Pos
cy,es,0,39,Pos
cy,tr,21,11,Pos
cy,ua,2,24,Pos
cy,ae,-1,85,Neg
cy,gb,0,22,Pos
cy,us,6,61,Pos
cz,au,0,5,Pos
cz,at,0,35,Pos
cz,by,0,Pos
cz,be,0,5,Pos
cz,br,0,12,Pos
cz,bg,0,18,Pos
cz,ca,0,1,Pos
cz,cn,0,12,Pos
cz,hr,0,1,Pos
cz,dk,0,35,Pos
cz,fi,0,13,Pos
cz,fr,0,83,Pos
cz,de,-2,48,Neg
cz,gr,0,31,Pos
cz,hu,0,24,Pos
cz,in,1,9,Pos
cz,ie,0,49,Pos
cz,it,1,36,Pos
cz,jp,0,1,Pos
cz,lu,0,18,Pos
cz,mt,0,5,Pos
cz,nl,0,81,Pos
cz,nz,0,41,Pos
cz,no,0,8,Pos
cz,pl,0,Pos
cz,pt,0,25,Pos
cz,ro,0,5,Pos
cz,rs,0,21,Pos
cz,sg,0,12,Pos
cz,sk,5,33,Pos
cz,es,0,25,Pos
cz,se,0,29,Pos
cz,ch,-1,13,Neg
cz,tr,0,49,Pos
cz,ua,0,9,Pos
cz,ae,0,6,Pos
cz,gb,-2,62,Neg
cz,us,3,9,Pos
de,af,0,2,Pos
de,al,0,17,Pos
de,dz,0,Pos
de,ar,0,36,Pos
de,am,0,15,Pos
de,au,0,66,Pos
de,at,0,14,Pos
de,az,0,2,Pos
de,bd,0,19,Pos
de,by,0,2,Pos
de,be,0,47,Pos
de,ba,0,26,Pos
de,br,1,59,Pos
de,bg,0,66,Pos
de,kh,0,1,Pos
de,cm,0,4,Pos
de,ca,0,63,Pos
de,cl,0,13,Pos
de,cn,0,91,Pos
de,co,0,19,Pos
de,cr,0,3,Pos
de,hr,0,92,Pos
de,cy,0,7,Pos
de,cz,0,51,Pos
de,dk,0,2,Pos
de,ec,0,Pos
de,eg,0,69,Pos
de,ee,0,Pos
